117	(die) Suppe	Shourba	soup	soupe	juha	(de) soep	سوپ	soup	স্যুপ 	sup	آش 	aash			supë	juha (supa)	zupa	Супа (supa)	суп	C: polévka		Supa / супа	şorbe	S: Soppa D + N: Suppe	keitto		zuppa	çorba	Sopa	leves	Sopa	supa	σούπα	supă	Sriuba	sabaw	Súp			
118	(die) Butter	Zoubda	butter	beurre	maslo	(de) boter	مکّھن	Makkhan	মাখন 	makhon		maska			gjalp	maslac	masło	Путер (puter)	масло сливочное	C: máslo		Maslo / масло	nivîşk	S: Smör D +N: Smør	voi		burro	tereyağı	Mantequilla	vaj	Manteiga	vutiro	βούτυρο	unt	Sviestas	mantikilya	Bơ			
119	(das) Öl	Zait	oil	huile	olje	(de) olie	تیل	tayl	তেল 	tel	تیل	teyl			vaj	ulje	olej	Масло, зејтин (maslo, zejtin)	масло разливное	C: olej		Olio / олио	rûn	S: Olja / D:Olie / N: Olje	öljy		olio	sıvı yağ	Aceite	olaj	Óleo	ladi	λάδι	ulei	Aliejus	mantika	Dầu ăn			
	(die) Gabel	Shawka /shoka	fork	Fourchette	vilice	(de) vork	کانٹا	Kaanta	কাঁটাচামচ 	ka(n)Tachamoch	پنجا	panjaa			pirun	vilica (viljuška)	widelec	Вилушка (vilushka)	вилка	C: vidlička		Vilitsa / вилица	çetel	S+D + N: Gaffel	Haarukka		Forchetta	çatal	Tenedor	villa	Garfo	piruni	πιρούνι	furculiță	Šakutė	tinidor	Cái nĩa			
	(der) Löffel	ma'laka	spoon	Cuillere	žlica	(de) lepel	چمچا	Chamcha	টেবিল চামচ / চা চামচ 	tebil chamoch/ cha chamoch	قاشق / چمچه	qaashoq / chamcha			lugë	žlica (kašika)	łyżka	Лажица (lazhica)	ложка	C: lžíce		Lajitsa / лъжица	kevçî	S: Sked / D:Ske / N: Skje	Lusikka		Cucchiaio	Kaşık	Cuchara	kanál	colher	kutali	κουτάλι	lingură	Šaukštas	kutsara	Cái thìa			
	(das) Messer	sekena / Sikkin	knife	Couteau	nož	(het) mes	چاقو	Chaqu	ছুরি / চাকু 	chhuri/chaku	کارد	kaard			thikë	nož	nóż	Нож (nozh)	нож	C: nůž		Nosh / нож	kêr	S: Kniv/Bordskniv /  D + N: Kniv	Veitsi		Coltello	Bıçak	Cuchillo	kés	Faca	maheri	μαχαίρι	cuțit	Peilis	kutsilyo	Con dao			
120	(der) Teller	tabak / sahen 	plate	Assiette	krožnik	(het) bord	پلیٹ	Plate	থালা 	thala	بشقاب	beshqaab			pjatë	tanjur (tanjir)	talerz	Чинија (chinija)	тарелка	C: talíř		Tchiniya / чиния	sênîk, teyfik	S: Tallrik  /  D+N: Tallerken	Lautanen		Piatto	tabak	Plato	tányér	Prato	piato	πιάτο	farfurie	Lėkštė	plato/pinggan	Con đĩa			
	(das) Trinkglas / Glas	Koubaya  / Kasse	glass (to drink from)	verre	kozarec	(het) glas	گلاس	Gilaas	গ্লাস 	glas	گیلاس	gilaas			gotë	čaša	szklanka	Чаша (chasha)	стакан	C: sklenice		Tchasha / чаша	qedeh / berçavk	S: Glas, Dricksglas  /  D: Glas  /  N:Glass 	lasi		bicchiere	bardak / gözlük	Vaso	pohár	Copo	potiri	ποτήρι	pahar	Stiklinė	baso	Cái cốc			
121	(die) Teekanne	Ebrek shaye	teapot 	théière	čajnik	(de) theepot	چائے دانی	Chai Daani	চায়ের কেতলি 	chayer ketli	چاینک	chaainak			ibrik çaji	čajnik	dzbanek do herbaty	чајник (chajnik)	(заварной) чайник	Čajová konvice		Tchaynik / чайник	çaydan	S: Tekanna / N: Tekanne	teepannu		Teiera	çaydanlık	tetera	teáskanna	bule	tsagiéra	τσαγιέρα	cană de ceai	Arbatinukas		Cái ấm trà			
																															Onde é o metro?									
	Kleidung	Malabes/ awa'ee	Clothing	Vêtements	Obleka	Kleding	کپڑے	Kapray	জামাকাপড় 	jamakapor	 لباس 	Lebaas			Veshje	Odjeća / Odeća	odzież	облека	Одежда	S: oblečenie C: oblečení			Cil	S: kläder  /  N: Klær	Vaatteet		Vestiti	Elbise	Ropa	ruházat	Roupa	Rouha	Ρούχα	Îmbrăcăminte	Drabužiai / Rūbai	Mga damit				
122	(das) Hemd	 qamís	shirt	une chemise	Srajca	(het) hemd	قمیض	Qameez	শার্ট / জামা	shirt / jama	 بلوز 	bolooz	کمیس     	kamis	Këmishë	košulja	koszula	Кошула (Koshula)	Рубашка	S: tričko / košeľa / C: triko / košile	تي شيرت	riza / риза	Gomlek	S: Skjorta N: Skjorte / D: Skjorte	paita		Camicia	gömlek	Camisa	ing	camisa	blúza	μπλούζα	cămașă	Marškiniai	kamiseta				
123	(das) Kleid	fustan	Dress	une robe	Obleka	(de) jurk	لباس/کپڑے	Libaas/kaprey	জামা	 Jama	لباس	lebaas	کالي     	kaali	Fustan	haljina	sukienka	Фустан (Fustan)	Платье	S, C: šaty	کراس 	roklya / рокля	Kiras	S: Klänning N: Kjole / D: Kjole	mekko		Abito / Vestito	elbise	Vestido	ruha	vestido	fórema	φόρεμα	haină	Suknia	damit / blusa				
124	(der) Rock	Tanoura	skirt	une jupe	Krilo	(de) rok	اسکرٹ	iskirt	স্কার্ট 	skirt 	 دامن 	daaman			Fund	suknja	spódnica	Сукња / Здолниште (Suknja / Zdolnishte)	юбка	S: sukňa C: sukně	ته نوره	pola / пола	Eteg	S: Kjol N: Skjørt D: Nederdel	hame		Gonna	etek	Falda  	szoknya	Saia	foosta	φούστα	fustă	Suknelė	palda				
125	(die) Hose	Sirwal / Bantalon	trousers (UK) / pants (US)	pantalon	hlače	(de) broek	پینٹ / پتلون	Pant/Patloon	প্যান্ট 	pant	پتلون	patloon	پتلون/پرتوګ     	patlun/partog	pantallona	hlače (pantalone)	spodnie	панталони (pantaloni)	штаны/брюки	S: nohavice C: kalhoty	پانتؤل 	pantalon / панталон	Şal	S: Byxor N: Bukser / D: Bukser	housut		pantaloni (un paio di pantaloni)	pantolon	(el) pantalón	Nadrág	calças	panteloni	παντελόνι	pantaloni	Kelnės	pantalon				
126	(der) Pullover	kanzet souf	jumper (UK) / sweater / pullover	pull, pullover	pulover	(de) trui	سویٹر	sweater	সুয়েটার 	suyetar	جمپر	jampar			pulovër	džemper	sweter	Џемпер, пуловер (dzemper, pulover)	джемпер / свитер	S: sveter		Pulover / пуловер	fanêre	S: Tröja N: Genser	villapaita		maglione	kazak	(el) sueter / pulover	pulóver	pulover / camisola de manga comprida	poulover	πουλόβερ	pulover	Megztinis / Bliuzonas	sweter				
128	(die) Jacke	Jaket / Mi'itaf	jacket / coat	veste / manteau	jakna	(de) jas	جیکٹ	Jacket	জ্যাকেট 	jaket	ژاکت	jaakat			xhaketë	jakna	kurtka / płaszcz	Јакна, сако (jakna, sako)	куртка/ пальто	S: sako / kabát		Jake / яке	çakêt	S: Jacka N: Jakke	takki		giacca / giubbotto	ceket	(el) abrigo	kabát	casaco	zaketa- palto	ζακέτα-παλτό	geacă	Striukė / Paltas	pangginaw/jacket				
129	(der) Schleier / (das) Kopftuch	Hijab / Khimar	veil / hijab / headscarf	un voile	tančica / Ruta / Hijab	(de) sluier / (de) hoofddoek; (de) hijab	حجاب / ڈپٹا / نقاب	Hijaab/dupatta/niqaab	হিজাব/ ওড়না 	hijab/orna	حجاب	hejaab	ټیکری/توکری    	 ttekri / ttukri	perçe / Shami	veo	szal / chusta/ hidżab / woal	вел (vel)	вуаль	S: šatka / hidžáb / C: šátek / hidžáb	حيجاب	hidjab / хиджаб	demsal	S: Slöja N: Slør / D: Slør/ Tørklæde	huntu		velo	başörtüsü / hicap / peçe	(el) velo	hidzsáb / fejkendő	véu	peplo / madíla	πέπλο / μαντήλα	voal / hijab	Skara	belo				
130	(die) Schuhe [pl]	Ahzia/ sabbatat	shoes [pl]	chaussures	čevlji	(de) schoenen	جوتے	Jootey	জুতা 	juta	بوت / کفش	boot / kafsh			këpucë	cipele	buty	Чевли (čevli)	ботинки	S: topánky C: boty		Obuvki / обувки	sol	S+N: Skor / N: Sko	kengät		scarpe	ayakkabılar	(los) zapatos	cipő	sapatos	paputsia	παπούτσια	pantofi	Batai	sapatos				
	(die) Handschuhe [pl]	Qafazat	gloves [pl]	gants	rokavice	(de) handschoenen	دستانے/گلوز	Dastaney/Gloves	হাতমোজা 	hatmoja	دستکش 	distkash			dorashka	rukavice	rękawiczki	ракавици (rakavici)	рукавицы/ перчатки	S: rukavice		Rakavitsi / ръкавици	cepik	S: Handskar N: Hansker	käsineet / hanskat		guanti	eldiven	(los) guantes	kesztyű	luvas	gantia	γάντια	mănuși	Pirštinės	gwantes				
	(die) Socken [pl]	kalsat	socks [pl]	chaussettes	nogavice	(de) sokken	موزے	Mozey	মোজা 	moja	جوراب	joraab			corapë	čarape	skarpetki	чорапи (čorapi)	носки	S: ponožky		Tchorapi / чорапи	gore	S: Strumpor N: Strømper, Sokker	sukat		Calzini	çorap	(los) calcetines	zokni	meias	kaltses	κάλτσες	șosete	Kojinės	medyas				
	(die) Unterwäsche	Malabis Dakhiliya	underwear	sous-vêtements	spodnje perilo	(het) ondergoed	انڈر ویئر / جانگھیا / /اندرونی کپڑے	Underwear/ Janghiya 	অন্তর্বাস 	ontorbash	زیر جامه	zirjaamah	نیکر   	nikar	brekë / mbathje	donje rublje (donji veš)	bielizna	долна облека (dolna obleka)	нижнее бельё	S: spodná bielizeň C: spodní prádlo	جلى زیره وه	belyo / бельо	bincilik / Derpî	S: Underkläder N: Undertøy / D: Undertøj	alusvaatteet		biancheria intima	iç çamaşırı / külot	(la) ropa interior	alsónemű	roupa interior	esoruha	εσώρουχα	lenjerie intimă	Apatiniai					
																																								
	Sonstiges		Misc	Autres	Razno	Overig	اور چیزیں	Aur cheezain	অন্যান্য 	onnanno	مختلف	Mokhtalef			Të ndryshme	Razno	Różne	Разно	Разное	S: Rôzne			Yên din	S: övrigt / N: Øverig	Sekalaista		Varie	Diğerleri	Misceláneos	Egyéb	Diversos	Diafora	Διάφορα	Diverse	Kita					
																															Onde é o quarto número__?									
	(das) Bett	Takhet / Sarrir	bed	lit	postelja	(het) bed	بستر / پلنگ	Bistar/Palang	বিছানা 	bichhana	چهارپایی	chaar paayi			krevat	krevet	łóżko	Кревет	кровать	C: postel		Leglo / легло	nivîn	S: Säng / N: Seng	sänky		letto	yatak	(la) cama	ágy 	cama	krevati	κρεβάτι	pat	Lova	kama				
131	(die) Decke	bataneya	blanket	couverture	odeja	(de) deken	کمبل	kambal	কম্বল 	kombol	کمپل	kampal			kuvertë / batanije	deka (prekrivač, ćebe)	koc	покривач (pokrivach) / ќебе (kjebe)	одеяло/ покрывало	S: paplón / C: deka		Odealo / одеало	betanî	S: Täcke / Filt  N: Dyne / Teppe	peitto / peite / viltti		coperta	battaniye/yorgan	(la) cobija / manta	takaró	manta / cobertor	kouverta	κουβέρτα	pătură / plapumă/cuvertură	Dekis / Antklodė	kumot				
132	(die) Lampe	misbah / lamba	lamp	lampe	svetilka	(de) lamp	لامپ	Lamp	বাতি 	bati	لامپ	laamp			llampë	svjetiljka / lampa	lampa	Лампа	лампочка/лампа	C: svítilna		Lampa / лампа	lambe	S: Lampa/Lykta / N: Lampe	lamppu		lampada	lamba	(la) lámpara	lámpa	lâmpada	lampa	λάμπα	lampă	Lempa	lampara				
133	(das) Telefon	Telephon / Jawal / Hatef	telephone	téléphone	telefon	(de) telefoon	ٹیلی فون	Telephone	টেলিফোন 	telifon	تلفن	talefun	تیلفون   	telefon	telefon	telefon	telefon	Телефон (Telefon)	телефон	S: telefón / C: telefon	ته له فون	Телефон (Telefon)	telefon	S: Telefon N: Telefon / D: Telefon	puhelin		telefono	telefon	(el) teléfono	telefon	telefone	tilefono	τηλέφωνο	telefon	Telefonas	Telepono				
134	(das) Handy	Jawal / Mobile	mobile phone / cellphone	(téléphone) portable	mobilni telefon	(de) mobiele telefoon; (het) mobieltje	موبائیل فون	Mobile phone	মুঠোফোন/ মোবাইল টেলিফোন / সেলফোন 	muthofon/mobail telifon/selfon	مبایل	mobaayl			celular	mobitel / mobilni telefon	komórka / telefon komórkowy	Мобилен телефон	мобильник	C: mobil		Mobilen telefon / мобилен телефон	telefuna desta	S: Mobil/Mobiltelefon  /  N: Mobiltelefon	matkapuhelin / kännykkä		cellulare	cep telefonu	teléfono movil / celular	mobiltelefon	telemóvel	kinito tilefono	κινητό τηλέφωνο	telefon mobil	Mobilusis telefonas	cell phone				
	(die) Elektrizität / (der) Strom	Kahraba	electricity	électricité	elektrika	(de) elektriciteit; (de) stroom	بجلی	Bijlee	বিদ্যুত / কারেন্ট 	biddut/karent	برق 	barq			elektricitet	struja	elektryczność; prąd	Струја (struja)	электричество	C: elektřina		Elektritchestvo / Електричество	ceyran	S: elektricitet  /  N: Elektrisitet	sähkö		elettricità	elektrik	(la) electricidad	 áram, villamosenergia	eletricidade	ilektrismos	ηλεκτρισμός	electricitate	Elektra	kuryente				
	(der) Computer	Hassoub/ kombuter	computer	ordinateur	računalnik	(de) computer	کمپیوٹر	Computer	কম্পিউটার 	kompiutar	کامپیوتر 	compyutar			kompiuter	računalo / računar (kompjuter)	komputer	Компјутер	компьютер	C: počítač		Kompiutar / компютър	komputer	S: Dator	tietokone		computer	Bilgisayar	(la) computadora/(el) ordenador	számitógép	computador	upologistis	υπολογιστής	computer/calculator	Kompiuteris	kompyuter				
135	(die) Internetverbindung	Etesal bl internet 	internet connection	connexion internet	internetna povezava	(de) internetverbinding	انٹرنٹ کنکشن	Internet Connection	ইন্টারনেট সংযোগ 	intarnet shongjog	انترنت	internet			Lidhje Interneti	internetska veza (internet konekcija)	połączenie z internetem	интернет врска (internet vrska)	подключение к интернету 	připojení k internetu		Internet vraska / интернет връзка	giredana internetê	S: internetuppkoppling	internet-yhteys		connessione internet	internet bağlantısı	(la) conexión a internet	internetkapcsolat	ligação à internet	diadiktiaki sindesi	διαδικτυακή σύνδεση	conexiune de internet	Internetas					
	(die) Batterie	Battariya	battery	batterie	baterija	(de) batterij	باٹری	Battery	ব্যাটারি 	batari	باطری	baattry			bateri	baterija	bateria	Батерија	батарейка	C: baterie		Bateria / батерия	pîl	S: Batteri	akku		batteria	pil	(la) batería	elem	bateria / pilha	bataria	μπαταρία	baterie	Baterija	baterya				
136	(das) Zimmer	Ghourfah	room	chambre	soba	(de) kamer	کمرہ	Kamra	ঘর 	ghori	اتاق 	otaaq			dhomë	soba	pokój	Соба	комната	C: pokoj		Staia / Стая	ode	S: Rum	huone		stanza	oda	(la) habitación	szoba	quarto	domatio	δωμάτιο	cameră	Kambarys	kwarto				
	(der) Stuhl	Kourssi	chair	chaise	stol	(de) stoel	کرسی	Kursi	চেয়ার 	cheyar	چوکی	chawki			karrige	stolica	krzesło	Стол	стул	C: židle		Stol / стол	kursî	S: Stol	tuoli		sedia	sandalye	(la) silla	szék	cadeira	karekla	καρέκλα	scaun	Kėdė	upuan/silya				
	(der) Tisch	Tawla	table	table	miza	(de) tafel	میز	Mez	টেবিল 	tebil	میز	meyz			tavolinë	stol / sto	stół	Маса	стол	C: stůl		Masa / маса	mase	S: Bord	pöytä		tavolo	masa	(la) mesa	asztal	mesa	trapezi	τραπέζι	masă	Stalas	(la)mesa				
137	(die) Toilette / (das) WC	hammam	toilet	toilettes, WC.	stranišče, WC	(de) WC	غصل خانہ / ٹویلٹ	Ghusulkhaana / Toilet	বাথরুম / টয়লেট 	bathrum/toilet	تشناب	tashnaab			tualet	WC / Toalet	toaleta / WC	Тоалет	туалет/сортир/WC	C: záchod		Toaletna / тоалетна	tuwalet	S: Toa/Toalett	vessa		bagno	tuvalet	(el) sanitario/(el) servicio	WC	casa de banho	toualeta	τουαλέτα	toaletă/WC	Tualetas	t[u]walya				
	(das) Toilettenpapier	Warak tawalet	toilet paper	papier toilette	toaletni papir	(het) toiletpapier	ٹویلٹ کا کاغز	Toilet ka kaghaz	টয়লেট টিস্যু 	toilet tishu	کاغذ تشناب	kaaghaz-e-tashnaab			letra banjoje	toalet papir	papier toaletowy	Тоалетна хартија	туалетная бумага	S: toaletný papier / C: toaletní papír		Toaletna hartia / тоалетна хартия	paçikên tuwaletê	S: Toalettpapper N: Toalettpapir D: Toiletpapir	vessapaperi / wc-paperi		carta igienica	Tuvalet kâğıdı	(el) papel de baño	WC-papír	papel higiénico	harti tualetas	χαρτί τουαλέτας	hârtie igienică	Tualetinis popierius					
138	(die) Zahnbürste	fourchat assnan	toothbrush	brosse à dent	zobna ščetka	(de) tandenborstel	دانت مانجھنے کا برش	Daanth manjhney ka brush	দাঁতের ব্রাশ 	da(n)ter brash	مسواک 	maswaak			furçë dhëmbësh	četkica za zube	szczoteczka do zębów	Четка за заби	зубная щётка	C: zubní kartáček		Tchetka sa subi / четка за зъби	firça dirana	S: Tandborste	hammasharja		spazzolino	diş fırçası	(el) cepillo de dientes	fogkefe	escova de dentes	odontovurtsa	οδοντόβουρτσα	periuță de dinți	Dantų šepetėlis	sipilyo				
140	(die) Zahnpasta	maajoun assnan	toothpaste	dentifrice	zobna pasta	(de) tandpasta	ٹوتھ پہسٹ / دنت منجن	Tooth paste / Danth manjan	টুথপেস্ট 	tuthpest	خمیردندان	khamir dandon			pastë dhëmbësh	pasta za zube	pasta do zębów	Паста за заби	зубная паста	C: zubní pasta		Pasta sa zabi / паста за съби	macuna dirana	S: Tandkräm	hammastahna		dentifricio	diş macunu	(la) pasta de dientes	fogkrém	pasta de dentes / pasta dentífrica	odontopasta	οδοντόπαστα	pastă de dinți	Dantų pasta					
141	(die) Dusche	hamam/ dush	shower	douche	prha	(de) douche	شاور	Shower	শাওয়ার/ গোসল 	shawar/goshol 	شاور	shaawar			dush	tuš	prysznic	Туш	душ	C: sprcha		Dush / душ	duş	S: Dusch	suihku		doccia	duş	(la) ducha	zuhany	chuveiro	duz	ντους	duș	Dušas					
	(die) Badewanne	Maghtas	bathtub	baignoire	banja / (kopalna) kad	(het) bad	ٹب	Tub	বাথটাব 	bathtab	جان شوی	jaan shoy			vask	kada	wanna	Када (kada)	Ванна	C: vana		Vana / вана	kuwet	S: Badkar	kylpyamme		vasca	küvet	(la) bañera	fürdőkád	banheira	baniera	μπανιέρα	cadă	Vonia					
	(die) Seife	sabona	soap	Savon	milo	(de) zeep	صابن	Sabun	সাবান 	shaban	صابون 	saaboon			sapun	sapun	mydło	Сапун	мыло	mýdlo		Sapun / сапун	sabun	S: Tvål	Saippua		Sapone	Sabun	jabón	szappan	sabonete	sapouni	σαπούνι	săpun	Muilas	sabon				
142	(das) Shampoo	shampoo	shampoo	Shampooing	šampon	(de) shampoo	شامپو	Shampoo	শ্যাম্পু 	shampu	شامپو	shaampoo			shampo	šampon	szampon	Шампон	Шампунь	šampon		Shampoan / шампоан	şampuan	S: Schampo	Sampoo		Shampoo	Şampuan	shampoo	sampon	champô	sampuan	σαμπουάν	șampon	Šampūnas					
143	(das) Taschentuch	maharem / mandil	tissue / handkerchief	mouchoir	papirnati robček	(de) zakdoekjes	رومال	Rumaal	টিস্যু / রুমাল 	tishu/rumal	دستمال	dastmaal			shami dore	papirnate maramice	chusteczki do nosa / chusteczki higieniczne	марамче	салфетки	S: papierová vreckovka / C: kapesník		Salfetki / салфетки	paçikên desta	S: Näsduk N: Lommetørkle	nenäliina		fazzoletto	peçete	(el) kleenex	zsebkendő	lenço de papel	hartomantilo	χαρτομάντηλο	șervețel	Nosinaitė / Servetėlė	panyo (handkerchief) / tissue/tisyu				
144	(der) Schrank	Khizana	cupboard	placard	omara	(de) kast	الماری / کابینٹ	Almaari / Cabinet	আলমারি 	almari	کمد	komod			dollap	ormarić	szafa / szafka	орманче (ormanche)	комод/шкаф	C: skříň		Shkaf / шкаф	dolab	S: Köksskåp	kaappi		credenza (mobile da cucina)	dolap	(la) alacena	szekrény	armário	dulapi	ντουλάπι	dulap	Spintelė					
145	(die) Tür	Bab	door	(la) porte	vrata	(de) deur	دروازہ	Darwaza	দরজা 	dorja	دروازه	darwaaza			derë	vrata	drzwi	врата (vrata)	дверь	dveře		Vrata / врата	derî	S: Dörr	ovi		Porta	kapı	puerta	ajtó	porta	porta	πόρτα	uşă	Durys	pinto (the door) / pintuan (area near the door)				
146	(das) Fenster	Nafeza/shebbak	window	(la) fenêtre	okno	(het) raam	کهڑکی	Khirki	জানালা 	janala	پنجره	panjara			dritare	prozor	okno	прозорец (prozorets)	окно	okno		Prosorets / прозорец	pace	S: Fönster	ikkuna		finestra	pencere	ventana	ablak	janela	parathiro	παράθυρο	fereastră	Langas	bintana				
	(die) Wand	Ha'et	wall	(le) mur	stena, zid	(de) muur	دیوار	Dewaar	দেয়াল 	deyal	دیوار	deewaar			mur	zid	ściana	ѕид (dzid)	стена	zeď		Stena / стена	dîwar	S: Vägg	seinä		muro	duvar	muro	fal	parede	tihos	τοίχος	perete	Siena	dingding				
	(das) Haus	Manzel	house	(la) maison	hiša	(het) huis	مکان	Makaan	বাড়ি 	bari	خانه	khaanah			shtëpi	kuća	dom	куќа (kukja)	дом	dům		Kushta / къща	mal	S: Hus	talo		casa	ev	casa	ház	casa	spiti	σπίτι	casă	Namas	bahay				
	(die) Wohnung	Sha'a	apartment / flat	(le) logement / appartement	stanovanje	(de) woning	فلیٹ	flat	বাসা 	basha	آپارتمان	Apaartemaan			banesë	stan	ogród	стан (stan)	квартира	byt		Apartament / апартамент	avahî	S: Lägenhet	asunto		appartamento	ev	apartamento	lakás	apartamento	diamerisma	διαμέρισμα	apartament	Butas					
	(das) Buch	Ketab	book	(le) livre	knjiga	(het) boek	کتاب	kitaab	বই 	boi	کتاب	kitaab			libër	knjiga	książka	книга (kniga)	книга	kniha		Kniga / книга	pirtûk	S: Bok	kirja		libro	kitap	libro	könyv	livro	vivlio	βιβλίο	carte	Knyga	libro / aklat				
	(die) Zeitung	Jaredeh	newspaper	(le) journal	časopis	(de) krant	اخبار	Akhbar	খবরের কাগজ 	khoborer kagoj	روزنامه	roznaamah			gazetë	novine	gazeta	весник (vesnik)	газета	noviny		Vestnik / вестник	rojname	S: Tidning	sanomalehti		giornale (quotidiano)	gazete	periódico	újság	jornal	efimerida	εφημερίδα	ziar	Laikraštis	dyaryo / peryodiko				
	(das) Radio	Mzyaa  / Radio	radio	(la) radio	radio	(de) radio	ریڈیو	Radio	বেতার 	betar	رادیو	radio			radio	radio	radio	радио (radio)	радио	rádio		Radio / радио	radyo	S: radio	radio		radio	radyo	radio	rádió	rádio	radiophono	ραδιόφωνο	radio	Radijas	radyo				
147	(das) Fernsehen	Telfaz	television	(la) télévision	televizija	(de) televisie	ٹیلی ویژن	Television	টেলিভিশন / দূরদর্শন 	telibhishon	تلویزیون	talwiziyun			televizor	televizor	telewizja	телевизор 	телевизор	televize		Televisia / телевизия	televîzyon	S: TV/teve	televisio		televisione	televizyon	televisión	tévé	televisão	tileorasi/TV	τηλεόραση	televiziune 	Televizija	telebisyon / TV	Ti vi			
148																																								
150																																								
																																								
151																																								
																																								
																																								
152																																								
153																																								
154																																								
155																																								
156																																								
																																								
157																																								
																																								
																																								
158																																								
159																																								
																																								
160																																								
161																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
162																																								
163																																								
																																								
164																																								
																																								
165																																								
																																								
																																								
																																								
																																								
166																																								
167																																								
169																																								
170																																								
171																																								
172																																								
173																																								
174																																								
175																																								
176																																								
177																																								
178																																								
179																																								
180																																								
181																																								
182																																								
183																																								
184																																								
185																																								
																																								
																																								
186																																								
																																								
																																								
																																								
																																								
																																								
187																																								
188																																								
																																								
189																																								
																																								
190																																								
																																								
191																																								
																																								
192																																								
193																																								
194																																								
195																																								
